Papilionidae, Parents: Lepidoptera
Lepidoptera, Parents: Insecta
Insecta, Parents: Arthropoda
Arthropoda, Parents: Animalia
Animalia, Parents: Eukaryota
Mollusca, Parents: Animalia
Bivalvia, Parents: Mollusca
Mytiloida, Parents: Bivalvia
Mytilidae, Parents: Mytiloida
Mytilus galloprovincialis, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\invertebrates\Mytilus galloprovincialis.jpg
Mytilus galloprovincialis, Parents: Mytilidae
Chordata, Parents: Animalia
Mammalia, Parents: Chordata
Primates, Parents: Mammalia
Cercopithecidae, Parents: Primates
Macaca nigra, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\mammals\Macaca nigra.jpg
Macaca nigra, Parents: Cercopithecidae
Hominidae, Parents: Primates
Homo sapiens, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\mammals\Homo sapiens.jpg
Homo sapiens, Parents: Hominidae
Perissodactyla, Parents: Mammalia
Equidae, Parents: Perissodactyla
Equus ferus, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\mammals\Equus ferus.jpg
Equus ferus, Parents: Equidae
Equus africanus, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\mammals\Equus africanus.jpg
Equus africanus, Parents: Equidae
Rodentia, Parents: Mammalia
Cricetidae, Parents: Rodentia
Cricetus cricetus, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\mammals\Cricetus cricetus.jpg
Cricetus cricetus, Parents: Cricetidae
Mesocricetus auratus, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\mammals\Mesocricetus auratus.jpg
Mesocricetus auratus, Parents: Cricetidae
Sciuridae, Parents: Rodentia
Sciurus vulgaris, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\mammals\Sciurus vulgaris.jpg
Sciurus vulgaris, Parents: Sciuridae
Sciurus carolinensis, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\mammals\Sciurus carolinensis.jpg
Sciurus carolinensis, Parents: Sciuridae
Caviidae, Parents: Rodentia
Cavia porcellus, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\mammals\Cavia porcellus.jpg
Cavia porcellus, Parents: Caviidae
Artiodactyla, Parents: Mammalia
Bovidae, Parents: Artiodactyla
Ovis aries, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\mammals\Ovis aries.jpg
Ovis aries, Parents: Bovidae
Capra aegagrus hircus, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\mammals\Capra aegagrus hircus.jpg
Capra aegagrus hircus, Parents: Bovidae
Bos taurus, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\mammals\Bos taurus.jpg
Bos taurus, Parents: Bovidae
Cervidae, Parents: Artiodactyla
Cervus elaphus, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\mammals\Cervus elaphus.jpg
Cervus elaphus, Parents: Cervidae
Capreolus capreolus, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\mammals\Capreolus capreolus.jpg
Capreolus capreolus, Parents: Cervidae
Suidae, Parents: Artiodactyla
Sus scrofa, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\mammals\Sus scrofa.jpg
Sus scrofa, Parents: Suidae
Camelidae, Parents: Artiodactyla
Camelus dromedarius, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\mammals\Camelus dromedarius.jpg
Camelus dromedarius, Parents: Camelidae
Camelus bactrianus, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\mammals\Camelus bactrianus.jpg
Camelus bactrianus, Parents: Camelidae
Carnivora, Parents: Mammalia
Ursidae, Parents: Carnivora
Ursus arctos, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\mammals\Ursus arctos.jpg
Ursus arctos, Parents: Ursidae
Pinnipedia, Parents: Carnivora
Felidae, Parents: Carnivora
Felis silvestris, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\mammals\Felis silvestris.jpg
Felis silvestris, Parents: Felidae
Canidae, Parents: Carnivora
Vulpes vulpes, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\mammals\Vulpes vulpes.jpg
Vulpes vulpes, Parents: Canidae
Canis aureus, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\mammals\Canis aureus.jpg
Canis aureus, Parents: Canidae
Canis lupus, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\mammals\Canis lupus.jpg
Canis lupus, Parents: Canidae
Canis latrans, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\mammals\Canis latrans.jpg
Canis latrans, Parents: Canidae
Mustelidae, Parents: Carnivora
Martes martes, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\mammals\Martes martes.jpg
Martes martes, Parents: Mustelidae
Martes foina, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\mammals\Martes foina.jpg
Martes foina, Parents: Mustelidae
Gulo gulo, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\mammals\Gulo gulo.jpg
Gulo gulo, Parents: Mustelidae
Procyonidae, Parents: Carnivora
Procyon lotor, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\mammals\Procyon lotor.jpg
Procyon lotor, Parents: Procyonidae
Lagomorpha, Parents: Mammalia
Leporidae, Parents: Lagomorpha
Lepus europaeus, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\mammals\Lepus europaeus.jpg
Lepus europaeus, Parents: Leporidae
Oryctolagus cuniculus, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\mammals\Oryctolagus cuniculus.jpg
Oryctolagus cuniculus, Parents: Leporidae
Eulipotyphla, Parents: Mammalia
Erinaceidae, Parents: Eulipotyphla
Erinaceus europaeus, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\mammals\Erinaceus europaeus.jpg
Erinaceus europaeus, Parents: Erinaceidae
Chiroptera, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\mammals\Chiroptera.jpg
Chiroptera, Parents: Mammalia
Reptilia, Parents: Chordata
Squamata, Parents: Reptilia
Colubridae, Parents: Squamata
Natrix natrix, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\reptiles\Natrix natrix.jpg
Natrix natrix, Parents: Colubridae
Viperidae, Parents: Squamata
Vipera berus, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\reptiles\Vipera berus.jpg
Vipera berus, Parents: Viperidae
Vipera ursinii, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\reptiles\Vipera ursinii.jpg
Vipera ursinii, Parents: Viperidae
Vipera ammodytes, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\reptiles\Vipera ammodytes.jpg
Vipera ammodytes, Parents: Viperidae
Lacertidae, Parents: Squamata
Podarcis sicula, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\reptiles\Podarcis sicula.jpg
Podarcis sicula, Parents: Lacertidae
Testudines, Parents: Reptilia
Testudinidae, Parents: Testudines
Testudo hermanni, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\reptiles\Testudo hermanni.jpg
Testudo hermanni, Parents: Testudinidae
Emydidae, Parents: Testudines
Trachemys scripta, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\reptiles\Trachemys scripta elegans.jpg
Trachemys scripta, Parents: Emydidae
Aves, Parents: Chordata
Suliformes, Parents: Aves
Phalacrocoracidae, Parents: Suliformes
Phalacrocorax aristotelis, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\birds\Phalacrocorax aristotelis.jpg
Phalacrocorax aristotelis, Parents: Phalacrocoracidae
Charadriiformes, Parents: Aves
Laridae, Parents: Charadriiformes
Larus michahellis, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\birds\Larus michahellis.jpg
Larus michahellis, Parents: Laridae
Passeriformes, Parents: Aves
Passeri, Parents: Passeriformes
Passeridae, Parents: Passeri
Passer domesticus, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\birds\Passer domesticus.jpg
Passer domesticus, Parents: Passeridae
Turdidae, Parents: Passeri
Turdus merula, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\birds\Turdus merula.jpg
Turdus merula, Parents: Turdidae
Muscicapidae, Parents: Passeri
Luscinia megarhynchos, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\birds\Luscinia megarhynchos.jpg
Luscinia megarhynchos, Parents: Muscicapidae
Paradisaeidae, Parents: Passeri
Paradisaea raggiana, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\birds\Paradisaea raggiana.jpg
Paradisaea raggiana, Parents: Paradisaeidae
Emberizidae, Parents: Passeri
Hirundinidae, Parents: Passeri
Hirundo rustica, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\birds\Hirundo rustica.jpg
Hirundo rustica, Parents: Hirundinidae
Corvidae, Parents: Passeri
Corvus corone, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\birds\Corvus corone.jpg
Corvus corone, Parents: Corvidae
Corvus corax, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\birds\Corvus corax.jpg
Corvus corax, Parents: Corvidae
Corvus cornix, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\birds\Corvus cornix.jpg
Corvus cornix, Parents: Corvidae
Garrulus glandarius, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\birds\Garrulus glandarius.jpg
Garrulus glandarius, Parents: Corvidae
Paridae, Parents: Passeri
Cyanistes caeruleus, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\birds\Cyanistes caeruleus.jpg
